experiment,exploration_steps,type_of_similarity,partial_pipeline_id,min_to_terminal_similarity,max_to_terminal_similarity,explanation_satisfied
12,4,euclidian,001252ee-d8db-4b2b-bd63-3199222d7c6f,0.15857811123721158,0.1611374616530134,False
12,5,manhattan,001252ee-d8db-4b2b-bd63-3199222d7c6f,4.745521963018291,5.087366002871931,False
12,5,cosine,001252ee-d8db-4b2b-bd63-3199222d7c6f,0.988589706648195,0.9880283133000398,True
12,5,euclidian,001252ee-d8db-4b2b-bd63-3199222d7c6f,0.15938016183814413,0.16572616747297725,False
12,6,manhattan,001252ee-d8db-4b2b-bd63-3199222d7c6f,4.014953055539991,4.094780492492646,False
12,6,cosine,001252ee-d8db-4b2b-bd63-3199222d7c6f,0.987232694550467,0.9867665987864507,True
12,6,euclidian,001252ee-d8db-4b2b-bd63-3199222d7c6f,0.15353555426019871,0.1593692416535568,False
12,7,manhattan,001252ee-d8db-4b2b-bd63-3199222d7c6f,5.080912457047816,4.895653135537032,True
12,7,cosine,001252ee-d8db-4b2b-bd63-3199222d7c6f,0.9909566207366782,0.993252585141539,False
12,7,euclidian,001252ee-d8db-4b2b-bd63-3199222d7c6f,0.15590919114639604,0.15219813509284183,True
14,1,manhattan,02d0b128-6428-427f-8931-0d36c77f37f3,5.846225050342127,26.242782905621425,False
14,1,cosine,02d0b128-6428-427f-8931-0d36c77f37f3,0.6394923832150059,0.6394923832150059,False
14,1,euclidian,02d0b128-6428-427f-8931-0d36c77f37f3,0.1848200110669538,0.8449248757168641,False
14,2,manhattan,02d0b128-6428-427f-8931-0d36c77f37f3,6.130114463020931,26.677449570920402,False
14,2,cosine,02d0b128-6428-427f-8931-0d36c77f37f3,0.981275805011657,0.6411223466795567,True
14,2,euclidian,02d0b128-6428-427f-8931-0d36c77f37f3,0.19047070952892287,0.8462286990120735,False
14,3,manhattan,02d0b128-6428-427f-8931-0d36c77f37f3,4.9338861896465005,26.636859002688425,False
14,3,cosine,02d0b128-6428-427f-8931-0d36c77f37f3,0.9804713591312478,0.6314977558430954,True
14,3,euclidian,02d0b128-6428-427f-8931-0d36c77f37f3,0.2059960580373717,0.8490441514803327,False
14,4,manhattan,02d0b128-6428-427f-8931-0d36c77f37f3,6.445516396110179,26.21849725399943,False
14,4,cosine,02d0b128-6428-427f-8931-0d36c77f37f3,0.9790613438587269,0.9823257354016401,False
14,4,euclidian,02d0b128-6428-427f-8931-0d36c77f37f3,0.19980620186448772,0.8427161761246045,False
14,5,manhattan,02d0b128-6428-427f-8931-0d36c77f37f3,6.222590865074835,26.319146234556683,False
14,5,cosine,02d0b128-6428-427f-8931-0d36c77f37f3,0.9803248133434334,0.640675057249245,True
14,5,euclidian,02d0b128-6428-427f-8931-0d36c77f37f3,0.19886258258862916,0.8448375186449902,False
14,6,manhattan,02d0b128-6428-427f-8931-0d36c77f37f3,6.107659777631852,26.329998928438272,False
14,6,cosine,02d0b128-6428-427f-8931-0d36c77f37f3,0.9826227985595141,0.6360047152335001,True
14,6,euclidian,02d0b128-6428-427f-8931-0d36c77f37f3,0.17365842443510857,0.8547311762228986,False
14,7,manhattan,02d0b128-6428-427f-8931-0d36c77f37f3,6.114750417405958,26.4286220676762,False
14,7,cosine,02d0b128-6428-427f-8931-0d36c77f37f3,0.9800193585705603,0.6439948550768959,True
14,7,euclidian,02d0b128-6428-427f-8931-0d36c77f37f3,0.20269992943752704,0.8368613350610505,False
15,1,manhattan,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,4.417097842170932,4.427802063939254,False
15,1,cosine,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,0.9898978953701101,0.98995201169123,False
15,1,euclidian,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,0.14214151543436876,0.14176028219261178,True
15,2,manhattan,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,4.417097842170932,4.401093447513432,True
15,2,cosine,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,0.9879354960225332,0.9882869643812296,False
15,2,euclidian,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,0.14214151543436876,0.14176028219261178,True
15,3,manhattan,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,4.753955670045798,4.685399747619158,True
15,3,cosine,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,0.9912195919606921,0.9929951506782159,False
15,3,euclidian,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,0.1587489161264361,0.15537767690786428,True
15,4,manhattan,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,4.67407504427274,4.963032913558436,False
15,4,cosine,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,0.9899341005698278,0.9881226117525778,True
15,4,euclidian,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,0.1511861413237448,0.1533641696737942,False
15,5,manhattan,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,4.7394350884706,4.674871334989803,True
15,5,cosine,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,0.989019808550841,0.9896322561019154,False
15,5,euclidian,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,0.153167929179515,0.15805862289720535,False
15,6,manhattan,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,4.9063236079837225,5.0344268405851835,False
15,6,cosine,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,0.991994192373493,0.9958247978239715,False
15,6,euclidian,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,0.11634169352444745,0.11885770423314711,False
15,7,manhattan,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,5.086872982952627,4.998623546166527,True
15,7,cosine,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,0.987775602247893,0.9876632713488358,True
15,7,euclidian,06a95c66-6aae-4524-a7ab-1cbc84a9e4fe,0.15464109264277084,0.14903400451266383,True
17,1,manhattan,03a5aad0-edbe-470f-afde-ea36860fbac6,4.819582159209517,26.749165899393006,False
17,1,cosine,03a5aad0-edbe-470f-afde-ea36860fbac6,0.9865483672959212,0.6264998308698481,True
17,1,euclidian,03a5aad0-edbe-470f-afde-ea36860fbac6,0.1532359952678452,0.8619916069861598,False
17,2,manhattan,03a5aad0-edbe-470f-afde-ea36860fbac6,5.024011022240529,26.635745198457357,False
17,2,cosine,03a5aad0-edbe-470f-afde-ea36860fbac6,0.986371673958956,0.6336892138432885,True
17,2,euclidian,03a5aad0-edbe-470f-afde-ea36860fbac6,0.1655025685155543,0.8524569931784451,False
